,Publisher,Frequency,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Electronic Arts,1351,595.069999999998,371.2699999999965,14.039999999999958,129.76999999999947,1110.3199999999915
1,Activision,975,429.6999999999991,215.53000000000037,6.539999999999987,75.34000000000093,727.4599999999983
2,Namco Bandai Games,932,69.5200000000001,42.63000000000004,127.07000000000008,14.689999999999932,254.0900000000008
3,Ubisoft,921,253.43000000000043,163.31999999999968,7.499999999999993,50.25999999999995,474.71999999999935
4,Konami Digital Entertainment,832,92.15999999999998,69.6900000000002,91.3,30.310000000000237,283.639999999998
5,THQ,715,208.7700000000004,94.73000000000019,5.009999999999998,32.140000000000235,340.7699999999994
6,Nintendo,703,816.8700000000001,418.7400000000002,455.4199999999995,95.33000000000038,1786.5599999999981
7,Sony Computer Entertainment,683,265.2199999999993,187.72000000000017,74.10000000000004,80.4500000000002,607.4999999999989
8,Sega,639,109.39999999999996,82.00000000000013,57.030000000000015,24.520000000000124,272.98999999999927
9,Take-Two Interactive,413,220.4900000000005,118.14000000000017,5.829999999999992,55.23999999999992,399.5399999999996
10,Capcom,381,78.59,39.22000000000003,68.08000000000001,14.839999999999955,200.89000000000001
11,Atari,363,110.0399999999999,27.120000000000065,10.709999999999997,9.009999999999964,157.22000000000025
12,Tecmo Koei,338,14.079999999999972,7.079999999999986,29.210000000000004,3.1799999999999886,53.55000000000003
13,Square Enix,233,48.65000000000003,32.82,49.88000000000001,13.889999999999972,145.18000000000026
14,Warner Bros. Interactive Entertainment,232,81.17999999999995,53.120000000000026,1.0400000000000003,18.56000000000007,153.89000000000013
15,Disney Interactive Studios,218,71.34000000000002,34.64000000000003,0.56,13.179999999999971,119.96000000000004
16,Unknown,203,18.490000000000013,7.529999999999987,6.059999999999997,2.479999999999993,34.66000000000005
17,Midway Games,198,45.46000000000004,18.38000000000004,0.12000000000000001,5.73999999999998,69.84999999999994
18,Eidos Interactive,198,49.19000000000002,35.630000000000024,6.109999999999996,8.019999999999984,98.97999999999998
19,505 Games,192,31.830000000000013,16.430000000000007,2.0500000000000003,5.439999999999978,55.91000000000003
20,Microsoft Game Studios,189,155.35000000000008,68.61000000000006,3.2599999999999976,18.560000000000073,245.79000000000005
21,D3Publisher,184,11.519999999999987,5.009999999999994,4.6499999999999835,2.8799999999999906,24.13000000000001
22,Acclaim Entertainment,184,42.74999999999999,16.75000000000002,1.1400000000000001,3.3699999999999903,64.13999999999997
23,Vivendi Games,164,37.0,16.03999999999998,0.22999999999999998,4.879999999999986,58.21000000000002
24,Codemasters,152,11.919999999999991,28.690000000000033,0.8300000000000003,6.299999999999987,47.870000000000026
25,Idea Factory,129,0.53,0.05,3.319999999999995,0.09999999999999998,4.019999999999992
26,Deep Silver,122,12.729999999999986,8.95999999999999,1.0900000000000003,2.8799999999999915,25.670000000000005
27,Nippon Ichi Software,105,5.219999999999995,1.9300000000000008,5.8699999999999966,1.3500000000000005,14.279999999999989
28,Zoo Digital Publishing,104,9.519999999999982,2.4499999999999966,0.13999999999999999,0.7800000000000004,12.86999999999999
29,Majesco Entertainment,92,12.079999999999993,2.909999999999997,0.02,0.9600000000000004,16.08
30,LucasArts,90,49.97,26.630000000000013,0.20000000000000004,10.499999999999988,87.34000000000003
31,Rising Star Games,86,10.499999999999993,2.9799999999999986,2.5299999999999985,1.2200000000000006,17.310000000000006
32,Hudson Soft,81,2.55,0.9400000000000004,19.21000000000002,0.32000000000000006,23.01000000000002
33,Banpresto,73,0.41000000000000003,0.2,16.44000000000001,0.3600000000000001,17.400000000000013
34,Bethesda Softworks,71,39.71999999999999,30.730000000000008,1.4500000000000002,10.159999999999993,82.14000000000003
35,Crave Entertainment,71,6.91,1.8700000000000008,0.44999999999999996,0.6700000000000004,9.930000000000003
36,Atlus,67,4.199999999999998,1.1000000000000005,6.729999999999995,0.7700000000000004,12.739999999999995
37,Virgin Interactive,62,18.99,12.93999999999999,8.940000000000001,3.0299999999999963,43.87000000000001
38,Infogrames,62,10.499999999999995,4.599999999999993,0.38000000000000006,0.8500000000000003,16.340000000000003
39,Ignition Entertainment,61,4.029999999999998,1.3600000000000005,0.6800000000000002,0.5900000000000003,6.819999999999998
40,5pb,61,0.02,0.0,1.610000000000001,0.0,1.630000000000001
41,Focus Home Interactive,58,1.7200000000000002,4.689999999999994,0.04,1.0400000000000005,7.509999999999995
42,Marvelous Interactive,56,1.6100000000000003,0.17,2.2199999999999993,0.18000000000000002,4.1699999999999955
43,Empire Interactive,52,6.029999999999997,3.7699999999999965,0.42,1.1200000000000006,11.289999999999996
44,SquareSoft,52,11.059999999999997,4.950000000000001,40.13,1.5400000000000005,57.65
45,Kadokawa Shoten,50,0.46,0.31,2.929999999999999,0.06999999999999999,3.769999999999998
46,Destineer,45,4.059999999999997,0.05,0.0,0.2600000000000001,4.359999999999996
47,GT Interactive,45,15.570000000000007,8.489999999999993,0.02,1.1400000000000006,25.229999999999993
48,DTP Entertainment,45,1.6200000000000006,1.4300000000000006,0.02,0.4900000000000002,3.589999999999997
49,Alchemist,43,0.59,0.46,1.4200000000000008,0.15,2.629999999999998
50,MTV Games,41,14.980000000000002,4.009999999999999,0.01,2.0300000000000002,20.97
51,Global Star,39,5.249999999999997,1.7100000000000006,0.0,0.6300000000000001,7.649999999999998
52,PQube,39,1.9100000000000008,0.9200000000000004,1.0500000000000003,0.40000000000000013,4.269999999999999
53,Spike,37,3.3200000000000003,0.33000000000000007,2.12,0.3700000000000001,6.1499999999999995
54,SouthPeak Games,37,4.769999999999998,0.9100000000000003,0.07,0.5600000000000002,6.349999999999995
55,Takara Tomy,37,0.76,0.03,1.8500000000000005,0.08,2.6999999999999997
56,TDK Mediactive,36,5.409999999999998,2.4199999999999986,0.0,0.4500000000000001,8.309999999999999
57,3DO,36,6.479999999999996,3.0399999999999987,0.0,0.6300000000000002,10.120000000000001
58,BAM! Entertainment,35,3.1599999999999984,1.4500000000000004,0.03,0.23999999999999996,4.949999999999999
59,Nordic Games,35,0.7600000000000003,3.1799999999999975,0.0,0.5100000000000001,4.439999999999997
60,Black Bean Games,34,1.2800000000000002,1.5600000000000005,0.01,0.41000000000000014,3.289999999999998
61,Zoo Games,33,4.519999999999998,0.0,0.0,0.2700000000000001,4.820000000000001
62,Mindscape,32,4.639999999999999,2.509999999999999,0.0,0.55,7.739999999999999
63,Game Factory,32,3.3099999999999974,0.2,0.0,0.2300000000000001,3.7899999999999983
64,Psygnosis,32,3.629999999999998,2.4799999999999978,0.72,0.4500000000000002,7.27
65,Interplay,30,3.859999999999999,2.269999999999999,0.01,0.4800000000000002,6.659999999999999
66,Enix Corporation,30,0.7600000000000002,0.31000000000000005,32.399999999999984,0.26999999999999996,33.739999999999974
67,Kalypso Media,29,1.0000000000000002,1.0600000000000003,0.09,0.25000000000000006,2.449999999999999
68,Activision Value,29,5.529999999999999,0.8800000000000001,0.0,0.5700000000000002,6.959999999999997
69,Level 5,27,0.2,0.27,11.65,0.04,12.170000000000002
70,FuRyu,27,0.11,0.02,1.1700000000000006,0.01,1.3200000000000007
71,Prototype,27,0.0,0.0,0.6100000000000003,0.0,0.6100000000000003
72,Arc System Works,26,0.7800000000000002,0.0,0.5700000000000003,0.11999999999999998,1.4800000000000004
73,Avanquest,26,1.1200000000000003,1.6200000000000006,0.0,0.25000000000000006,2.9999999999999996
74,Little Orbit,26,0.5300000000000001,1.3100000000000003,0.0,0.16000000000000003,2.0400000000000005
75,Telltale Games,25,1.2800000000000002,1.0000000000000002,0.03,0.3900000000000001,2.719999999999999
76,Midas Interactive Entertainment,24,1.3400000000000003,0.9700000000000002,0.15,0.26,2.7199999999999993
77,Paradox Interactive,23,0.05,0.5700000000000003,0.0,0.08,0.7600000000000003
78,Jaleco,23,0.7900000000000003,0.42000000000000015,0.6400000000000001,0.09999999999999999,1.9400000000000006
79,Aqua Plus,23,0.05,0.0,1.1900000000000004,0.02,1.2500000000000004
80,Universal Interactive,23,9.08,6.730000000000002,0.24,1.7500000000000004,17.770000000000003
81,JoWood Productions,22,0.8700000000000001,0.4800000000000001,0.01,0.14,1.4900000000000004
82,Broccoli,22,0.0,0.0,0.9600000000000002,0.0,0.9600000000000002
83,Oxygen Interactive,22,2.0100000000000007,1.04,0.0,0.3600000000000001,3.4599999999999986
84,SNK,22,0.04,0.03,2.4799999999999995,0.04,2.5899999999999994
85,Kemco,21,1.6100000000000005,0.4900000000000001,0.05,0.04,2.219999999999999
86,ASCII Entertainment,20,0.7000000000000002,0.44,9.4,0.3600000000000001,10.889999999999999
87,Compile Heart,20,0.5,0.03,0.7700000000000002,0.07,1.3700000000000003
88,Success,19,1.1200000000000003,0.49,0.22000000000000003,0.09,1.9600000000000004
89,City Interactive,19,1.7000000000000006,2.2699999999999987,0.07,0.5300000000000001,4.610000000000001
90,Titus,19,1.9600000000000006,1.0800000000000003,0.07,0.2,3.319999999999999
91,Storm City Games,19,1.3500000000000003,0.1,0.0,0.07999999999999999,1.5600000000000005
92,Taito,19,0.41,0.09,2.139999999999999,0.19000000000000003,2.8399999999999985
93,SNK Playmore,18,0.22999999999999998,0.14,0.56,0.03,0.9600000000000004
94,Tomy Corporation,18,1.8400000000000003,0.7500000000000002,2.12,0.25,4.970000000000001
95,ChunSoft,18,0.37,0.0,3.609999999999999,0.09,4.0699999999999985
96,Zushi Games,18,1.6700000000000006,0.05,0.01,0.10999999999999999,1.8900000000000006
97,Koch Media,17,2.31,1.6000000000000003,0.0,0.8200000000000003,4.709999999999999
98,Natsume,17,2.5199999999999996,0.6600000000000001,0.32,0.20000000000000004,3.6899999999999995
99,Rocket Company,17,0.0,0.0,1.8200000000000005,0.0,1.8200000000000005
100,O-Games,17,0.44000000000000017,0.54,0.0,0.11999999999999998,1.0800000000000003
101,SCi,17,2.0100000000000002,1.2300000000000002,0.0,0.26,3.52
102,DreamCatcher Interactive,17,0.7500000000000002,0.13999999999999999,0.0,0.07,0.9500000000000002
103,UFO Interactive,16,0.9200000000000004,0.0,0.0,0.04,0.9600000000000002
104,GSP,16,1.1600000000000001,2.1599999999999993,0.0,0.3700000000000001,3.6899999999999995
105,Hasbro Interactive,16,10.990000000000004,3.58,0.0,0.6400000000000001,15.219999999999999
106,Imagineer,16,0.09000000000000001,0.03,2.5299999999999994,0.0,2.649999999999999
107,Mastiff,16,2.0399999999999996,0.05,0.0,0.14,2.23
108,Milestone S.r.l.,16,0.23,0.7800000000000002,0.09999999999999999,0.16000000000000003,1.2800000000000002
109,Takara,16,0.16,0.06,3.1399999999999997,0.08,3.4500000000000006
110,Falcom Corporation,16,0.28,0.0,0.9100000000000004,0.03,1.2100000000000004
111,Enterbrain,15,0.12,0.1,1.9400000000000004,0.07,2.2299999999999995
112,From Software,15,0.3500000000000001,0.21000000000000002,0.9900000000000002,0.09999999999999998,1.6300000000000006
113,Sony Computer Entertainment Europe,15,8.959999999999997,9.000000000000002,2.5,3.42,23.890000000000008
114,Kadokawa Games,15,0.0,0.0,0.5800000000000002,0.0,0.5800000000000002
115,PopCap Games,15,1.1,0.33999999999999997,0.0,0.11999999999999997,1.5700000000000003
116,Ghostlight,15,1.2200000000000004,0.4600000000000001,0.8900000000000001,0.22000000000000003,2.79
117,Play It,14,2.53,1.2300000000000002,0.0,0.5500000000000002,4.31
118,Conspiracy Entertainment,14,0.63,0.14,0.0,0.04,0.8400000000000003
119,Ocean,14,2.0599999999999996,1.0,0.42000000000000004,0.10999999999999999,3.6100000000000003
120,989 Studios,14,9.230000000000002,3.3,0.1,0.6700000000000002,13.32
121,Playlogic Game Factory,14,0.9400000000000004,0.16000000000000003,0.0,0.10999999999999999,1.2000000000000002
122,Quinrose,14,0.0,0.0,0.22000000000000008,0.0,0.22000000000000008
123,Ubisoft Annecy,14,1.2700000000000005,0.66,2.2800000000000002,0.27,4.460000000000001
124,CyberFront,14,0.01,0.0,0.26,0.0,0.27
125,System 3 Arcade Software,14,0.9600000000000001,0.6300000000000001,0.0,0.2,1.8000000000000005
126,Rondomedia,14,1.1700000000000002,1.1300000000000001,0.0,0.26,2.5799999999999996
127,Human Entertainment,13,0.06,0.04,2.8200000000000007,0.09999999999999999,3.0
128,Nobilis,13,1.61,0.18000000000000002,0.02,0.14,1.9400000000000004
129,Acquire,13,0.14,0.0,0.9100000000000001,0.03,1.07
130,GungHo,13,0.8400000000000001,0.02,2.1799999999999997,0.10999999999999999,3.15
131,Bigben Interactive,13,0.1,0.62,0.0,0.12999999999999998,0.8400000000000001
132,Gust,13,0.15000000000000002,0.05,0.8400000000000001,0.05,1.1
133,Mastertronic,13,1.07,0.5000000000000001,0.0,0.12999999999999998,1.7300000000000004
134,Mattel Interactive,12,3.0500000000000007,0.37000000000000005,0.0,0.05,3.51
135,Marvelous Entertainment,12,0.8,0.22,1.17,0.15000000000000002,2.329999999999999
136,"Destination Software, Inc",12,0.7500000000000002,0.08,0.0,0.03,0.8800000000000001
137,XS Games,12,1.1800000000000002,0.17000000000000004,0.0,0.11000000000000001,1.4600000000000002
138,Irem Software Engineering,12,0.12,0.01,0.31000000000000005,0.01,0.4600000000000001
139,Metro 3D,12,0.7700000000000002,0.47,0.42000000000000004,0.15000000000000002,1.8400000000000005
140,Yeti,11,0.0,0.0,0.24000000000000002,0.0,0.24000000000000002
141,Sammy Corporation,11,0.41,0.31000000000000005,1.91,0.1,2.7300000000000004
142,Hudson Entertainment,11,0.33,0.05,1.21,0.09999999999999999,1.6900000000000004
143,Scholastic Inc.,10,2.67,0.03,0.0,0.18000000000000005,2.9099999999999997
144,Xplosiv,10,0.6100000000000001,0.86,0.0,0.17,1.64
145,Cave,10,0.14,0.0,0.18000000000000002,0.01,0.33000000000000007
146,Sunsoft,10,0.5,0.25,0.16999999999999998,0.04,0.9500000000000002
147,Microids,10,0.23,0.14,0.0,0.01,0.40000000000000013
148,Starfish,10,0.38999999999999996,0.19000000000000003,0.1,0.03,0.7200000000000002
149,Ackkstudios,10,0.13,0.04,0.6600000000000001,0.01,0.8400000000000003
150,Brash Entertainment,10,0.8900000000000001,0.21,0.0,0.10999999999999999,1.2300000000000002
151,Popcorn Arcade,10,0.45,0.0,0.0,0.01,0.49
152,Sting,9,0.39999999999999997,0.07,0.15000000000000002,0.03,0.65
153,Avanquest Software,9,0.9500000000000001,0.5300000000000001,0.03,0.17,1.6900000000000002
154,NewKidCo,9,0.8900000000000001,0.38,0.0,0.04,1.33
155,ASCII Media Works,9,0.0,0.0,0.27,0.0,0.27
156,Gremlin Interactive Ltd,9,0.6599999999999999,0.37000000000000005,0.0,0.05,1.1
157,ArtDink,9,0.06999999999999999,0.05,0.59,0.04,0.7300000000000002
158,Foreign Media Games,9,0.27,0.30000000000000004,0.0,0.05,0.6300000000000001
159,Victor Interactive,9,0.11,0.08,0.6799999999999999,0.02,0.8900000000000001
160,Gathering of Developers,9,0.61,0.4700000000000001,0.0,0.12000000000000001,1.1900000000000002
161,MTO,8,0.0,0.0,0.39,0.01,0.4
162,Fox Interactive,8,3.7600000000000002,3.1900000000000004,0.0,0.43000000000000005,7.390000000000001
163,Aspyr,8,0.5499999999999999,0.04,0.0,0.05,0.62
164,Aksys Games,8,0.19,0.01,0.18000000000000002,0.05,0.43999999999999995
165,Telegames,8,0.9099999999999999,0.060000000000000005,0.0,0.060000000000000005,1.0299999999999998
166,Agetec,8,0.7800000000000002,0.5800000000000001,0.38,0.19000000000000003,1.9400000000000002
167,Genki,8,0.48999999999999994,0.35000000000000003,0.52,0.11,1.4600000000000002
168,Asgard,8,0.0,0.0,0.25,0.0,0.25
169,JVC,8,2.2499999999999996,0.3400000000000001,0.12,0.07,2.8
170,Evolved Games,8,0.26,0.04,0.0,0.03,0.32000000000000006
171,Valcon Games,8,0.31000000000000005,0.08,0.0,0.03,0.45000000000000007
172,Tru Blu Entertainment,8,0.01,0.25,0.0,0.02,0.28
173,RTL,8,0.8300000000000001,0.9800000000000002,0.0,0.20000000000000004,2.0
174,NEC Interchannel,8,0.0,0.0,0.78,0.0,0.78
175,GameMill Entertainment,8,1.2800000000000002,0.04,0.0,0.09,1.3800000000000001
176,Sony Online Entertainment,8,1.96,1.1500000000000001,0.0,0.4,3.5300000000000002
177,Neko Entertainment,7,0.2,0.07999999999999999,0.0,0.02,0.31000000000000005
178,Nippon Columbia,7,0.0,0.0,0.9500000000000002,0.0,0.9500000000000002
179,Big Ben Interactive,7,0.7800000000000001,0.13,0.0,0.07,1.0
180,Parker Bros.,7,4.65,0.26999999999999996,0.0,0.05,4.97
181,BMG Interactive Entertainment,7,0.6700000000000002,0.44,0.0,0.07,1.1800000000000002
182,Epoch,7,0.0,0.0,0.99,0.06,1.05
183,Rage Software,7,0.81,0.47000000000000003,0.0,0.13,1.4200000000000004
184,Hackberry,7,0.0,0.0,0.31,0.0,0.31
185,Gotham Games,7,2.27,1.2400000000000002,0.0,0.22000000000000003,3.7199999999999998
186,Nihon Falcom Corporation,7,0.15,0.01,0.5800000000000001,0.04,0.77
187,Reef Entertainment,7,0.17,0.13,0.0,0.03,0.3400000000000001
188,LEGO Media,7,1.01,0.5,0.0,0.05,1.5599999999999998
189,CDV Software Entertainment,6,0.11,0.060000000000000005,0.0,0.01,0.2
190,Funbox Media,6,0.71,0.12999999999999998,0.0,0.060000000000000005,0.9100000000000001
191,Seta Corporation,6,0.0,0.0,0.5900000000000001,0.04,0.6300000000000001
192,Alternative Software,6,0.0,0.18,0.0,0.03,0.2
193,NCSoft,6,1.05,1.1900000000000002,0.0,0.33,2.5899999999999994
194,Comfort,6,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002
195,Kaga Create,6,0.0,0.0,0.14,0.0,0.14
196,Russel,6,0.0,1.12,0.09,0.0,1.2100000000000002
197,Paon,6,0.0,0.0,0.25,0.0,0.25
198,Avalon Interactive,6,0.33999999999999997,0.12,0.0,0.03,0.48
199,Astragon,6,0.24000000000000002,0.32,0.0,0.060000000000000005,0.6400000000000001
200,Swing! Entertainment,6,0.28,0.16,0.0,0.04,0.48
201,Compile,6,0.0,0.0,2.3499999999999996,0.1,2.4599999999999995
202,Screenlife,6,0.22,0.01,0.6599999999999999,0.03,0.9199999999999999
203,Benesse,6,0.01,0.0,0.32,0.0,0.33
204,Square,6,0.53,0.29000000000000004,2.5999999999999996,0.23,3.64
205,Graffiti,6,0.36,0.0,0.0,0.01,0.37999999999999995
